name,address,lat,lon,rating,user_ratings_total,place_id
Carino Pizza,"Başaran, Gazi Cd. No:187, Osmangazi̇",40.2049944,29.0747917,4.6,208,ChIJLy2agUE-yhQRIOKoAJdtWZE
Pizzotto Pizza,"Pizzotto Pizza, Şehreküstü, Durak Cd. no6 D, Osmangazi̇",40.1866824,29.0605637,4.8,37,ChIJ47QFzEU9yhQRQ14tIIOTkzE
مطعم بيت البيتزا Pizza Evi,"durak sukak،, Çırpan, 1. Durak Sk. No:5/A, Osmangazi̇",40.1955159,29.0572396,4.3,437,ChIJQ82n_AU-yhQRSOW9TJ9dlIs
Da Vittorio Ristorante Italiano,"Çekirge, Çekirge Cd. No:81, Osmangazi̇",40.1969095,29.03785719999999,4.4,413,ChIJzWQAUfwVyhQRueiwzrsZeMQ
Coi İtalian Pizza,"İntizam, Kuruçeşme Sk. No:6, Osmangazi̇",40.1893768,29.0554303,5,2,ChIJddGBiAc-yhQRXX9W6DuhDKw
PizzaLazza Altıparmak,"Kuruçeşme, Altıparmak Cd. No:59A, Osmangazi̇",40.189958,29.0522282,3.6,73,ChIJ9QzRSR09yhQRmPkAZ_OXpI0
7'DE 1 PİZZA,"Soğanlı, Çelebİ Mehmet Blv. No:191/B, Osmangazi̇",40.2110448,29.0457248,3.9,106,ChIJSSOHOWQVyhQRiUC0etFh9E0
Pervane Pizza Pide,"Muradiye, 2. Murat Cd. No 26, Osmangazi̇",40.190936,29.047296,4.2,479,ChIJIxAwjCA9yhQRPuAPfEdOr2M
PASAPORT PİZZA KÜÇÜKÇEKMECE,"Santral Garaj, Dr. Sadık Ahmet Cd. No:32 D:1A, Osmangazi̇",40.1994664,29.0618332,5,1,ChIJ78nnh5w_yhQR3QEtjpr0n7k
Little Caesars Yıldırım Şube,"Yıldırım, Beyazıt Cd. No:31B, Yıldırım",40.1858,29.0808,3.7,49,ChIJ5ckxsyU_yhQR4HiGALfVALo
Bursa Soğanlı Domino's Pizza,"Soğanlı, Çelebİ Mehmet Blv. No:193/B, Osmangazi̇",40.2109739,29.0452545,4,122,ChIJzdr8FjU9yhQRHF-Hdq72xQQ
